1	77.550000000	4.817457290	20	687
2	58.150000000	7.020833659	20	687
3	50.000000000	5.390049311	20	687
4	46.450000000	5.853249210	20	687
5	41.250000000	5.290259172	20	687
6	35.800000000	3.847076812	20	687
7	36.200000000	5.287522552	20	687
8	32.050000000	5.052097011	20	687
9	32.550000000	6.012924676	20	687
10	30.000000000	4.518965881	20	687
11	30.700000000	4.680305883	20	687
12	28.000000000	4.898979486	20	687
13	27.350000000	4.145701642	20	687
14	25.200000000	5.166694963	20	687
15	23.550000000	3.859029057	20	687
16	26.300000000	4.669047012	20	687
17	23.200000000	3.302311790	20	687
18	20.050000000	4.706937769	20	687
19	21.750000000	4.178579461	20	687
20	20.900000000	4.102630735	20	687
